Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Error %;Throughput;Received KB/sec;Sent KB/sec
HTTP Request;10000;23;25;36;40;52;2;71;0,00 %;477,53211;72,16;915,89
TOTAL;10000;23;25;36;40;52;2;71;0,00 %;477,53211;72,16;915,89
