Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10000,21,22,34,38,52,2,97,"0,000%","492,68365","74,47","944,95"
TOTAL,10000,21,22,34,38,52,2,97,"0,000%","492,68365","74,47","944,95"
