Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Error %;Throughput;Received KB/sec;Sent KB/sec
HTTP Request;10000;39;41;58;66;86;2;114;0,00 %;351,98874;59,84;675,1
TOTAL;10000;39;41;58;66;86;2;114;0,00 %;351,98874;59,84;675,1
