Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
"HTTP Request,10000,24,23,41,50,70,2,129,""0,000%"",""463,45646"",""70,07"",""888,90"""
"TOTAL,10000,24,23,41,50,70,2,129,""0,000%"",""463,45646"",""70,07"",""888,90"""
