Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Error %;Throughput;Received KB/sec;Sent KB/sec
HTTP Request;10000;39;41;57;63;78;2;205;0,00 %;346,75266;58,97;665,06
TOTAL;10000;39;41;57;63;78;2;205;0,00 %;346,75266;58,97;665,06
